symbol,status,parquet,reasons
AACT,FAIL,raw/Stock_parquet/AACT_1H.parquet,sharpe too low: -1.7460227792622722 < 0.9;sortino too low: -1.1320443457592464 < 1.1;profit_factor too low: 0.7734665447186801 < 1.12;net_to_gross too low: -1.1340721176165354 < 0.6;avg_net_trade_return too low: -0.00014157977236290613 < 0.00015;turnover_per_day too high: 7.851534656570104 > 0.6;cost_stress_failed sharpe=-5.019071346025215
AAM,FAIL,raw/Stock_parquet/AAM_1H.parquet,turnover_per_day too high: 4.35227467708855 > 0.6
AAON,FAIL,raw/Stock_parquet/AAON_1H.parquet,avg_net_trade_return too low: 9.102859281089489e-05 < 0.00015
AATC,FAIL,raw/Stock_parquet/AATC_1H.parquet,avg_net_trade_return too low: 0.0001058084705076779 < 0.00015
AAXJ,FAIL,raw/Stock_parquet/AAXJ_1H.parquet,turnover_per_day too high: 0.7842959793513284 > 0.6
ABBV,FAIL,raw/Stock_parquet/ABBV_1H.parquet,sortino too low: 1.0775073095637184 < 1.1;net_to_gross too low: 0.409113589469027 < 0.6;avg_net_trade_return too low: 4.43356201374397e-05 < 0.00015;turnover_per_day too high: 1.0955535574918116 > 0.6;cost_stress_failed sharpe=-0.6197296307906569
ABLLL,MISSING_PARQUET,,
ABM,FAIL,raw/Stock_parquet/ABM_1H.parquet,turnover_per_day too high: 1.2004669690722207 > 0.6
ABR_D,FAIL,raw/Stock_parquet/ABR_D_1H.parquet,sharpe too low: -1.4820518062756587 < 0.9;sortino too low: -1.1087843962670987 < 1.1;profit_factor too low: 0.8881227765963622 < 1.12;net_to_gross too low: -1.1613149800532068 < 0.6;avg_net_trade_return too low: -4.2438481237017835e-05 < 0.00015;turnover_per_day too high: 1.4980498004293088 > 0.6;cost_stress_failed sharpe=-4.187001746495276
ABR_E,FAIL,raw/Stock_parquet/ABR_E_1H.parquet,net_to_gross too low: 0.36585798345318465 < 0.6;avg_net_trade_return too low: 4.026000578911136e-05 < 0.00015;turnover_per_day too high: 0.8400299572765453 > 0.6;cost_stress_failed sharpe=-1.1036276942025576
ABR_F,FAIL,raw/Stock_parquet/ABR_F_1H.parquet,sharpe too low: 0.3912390549410095 < 0.9;sortino too low: 0.28099650104635365 < 1.1;profit_factor too low: 1.03189044280196 < 1.12;net_to_gross too low: 0.17430681046208477 < 0.6;avg_net_trade_return too low: 1.2262083512850813e-05 < 0.00015;turnover_per_day too high: 0.9506470464672945 > 0.6;cost_stress_failed sharpe=-1.4534014375219664
ABT,FAIL,raw/Stock_parquet/ABT_1H.parquet,avg_net_trade_return too low: 7.066280880686345e-05 < 0.00015
ACA,FAIL,raw/Stock_parquet/ACA_1H.parquet,net_to_gross too low: 0.5420954165232899 < 0.6;avg_net_trade_return too low: 6.849426890192094e-05 < 0.00015;turnover_per_day too high: 0.9157555681978805 > 0.6;cost_stress_failed sharpe=0.35427166288903783
ACEL,FAIL,raw/Stock_parquet/ACEL_1H.parquet,sharpe too low: 0.3701587188431681 < 0.9;sortino too low: 0.3233645068703145 < 1.1;profit_factor too low: 1.0325468762597452 < 1.12;net_to_gross too low: 0.1328904415219024 < 0.6;avg_net_trade_return too low: 1.3462433343751529e-05 < 0.00015;turnover_per_day too high: 1.8635500759080608 > 0.6;cost_stress_failed sharpe=-2.031627077068285
ACGL,FAIL,raw/Stock_parquet/ACGL_1H.parquet,turnover_per_day too high: 0.6128608156243949 > 0.6
