symbol,status,parquet,reasons
AGM_E,FAIL,raw/Stock_parquet/AGM_E_1H.parquet,net_to_gross too low: 0.5521902687940292 < 0.6;avg_net_trade_return too low: 5.2327344727874477e-05 < 8e-05;turnover_per_day too high: 1.7430467670223115 > 1.0;cost_stress_failed sharpe=0.3444298647154185
AGM_F,FAIL,raw/Stock_parquet/AGM_F_1H.parquet,avg_net_trade_return too low: 7.967038600679382e-05 < 8e-05;turnover_per_day too high: 1.1214522245071379 > 1.0
AGM_G,PASS,raw/Stock_parquet/AGM_G_1H.parquet,
AGNC,PASS,raw/Stock_parquet/AGNC_1H.parquet,
AGNCL,FAIL,raw/Stock_parquet/AGNCL_1H.parquet,turnover_per_day too high: 2.0300039046987584 > 1.0
AGNCM,FAIL,raw/Stock_parquet/AGNCM_1H.parquet,net_to_gross too low: 0.4989746975149708 < 0.6;avg_net_trade_return too low: 7.015664694054181e-05 < 8e-05;turnover_per_day too high: 3.6244609184838668 > 1.0;cost_stress_failed sharpe=-0.009570796530209723
AGNCN,FAIL,raw/Stock_parquet/AGNCN_1H.parquet,net_to_gross too low: 0.5036409076636613 < 0.6;turnover_per_day too high: 4.506753851267353 > 1.0;cost_stress_failed sharpe=0.041018462903454615
AGNCO,FAIL,raw/Stock_parquet/AGNCO_1H.parquet,sortino too low: 0.8545526138261972 < 1.0;net_to_gross too low: 0.3571267299748096 < 0.6;avg_net_trade_return too low: 3.37306904523701e-05 < 8e-05;turnover_per_day too high: 2.895822108869142 > 1.0;cost_stress_failed sharpe=-0.8969515765887142
AGX,FAIL,raw/Stock_parquet/AGX_1H.parquet,sharpe too low: 0.3902451774101316 < 0.7;sortino too low: 0.3029559390504578 < 1.0;profit_factor too low: 1.0343276910517354 < 1.1;net_to_gross too low: 0.2566512388878989 < 0.6;avg_net_trade_return too low: 1.0901543922264972e-05 < 8e-05;cost_stress_failed sharpe=-0.7393718752824862
AHH_A,FAIL,raw/Stock_parquet/AHH_A_1H.parquet,avg_net_trade_return too low: 7.435397611427212e-05 < 8e-05;turnover_per_day too high: 1.4829657392062294 > 1.0
AHL_E,PASS,raw/Stock_parquet/AHL_E_1H.parquet,
AHR,FAIL,raw/Stock_parquet/AHR_1H.parquet,turnover_per_day too high: 1.114793464662664 > 1.0
AIMBU,PASS,raw/Stock_parquet/AIMBU_1H.parquet,
AIO,FAIL,raw/Stock_parquet/AIO_1H.parquet,net_to_gross too low: 0.5966460251490365 < 0.6;avg_net_trade_return too low: 6.683713009576903e-05 < 8e-05;turnover_per_day too high: 1.7463336500469564 > 1.0
AIRTP,FAIL,raw/Stock_parquet/AIRTP_1H.parquet,turnover_per_day too high: 1.4488720093713905 > 1.0
AIS,PASS,raw/Stock_parquet/AIS_1H.parquet,
AIT,FAIL,raw/Stock_parquet/AIT_1H.parquet,turnover_per_day too high: 1.7148726464254511 > 1.0
AIV,FAIL,raw/Stock_parquet/AIV_1H.parquet,avg_net_trade_return too low: 5.7643034993483524e-05 < 8e-05;turnover_per_day too high: 1.091388586829985 > 1.0
AIZN,FAIL,raw/Stock_parquet/AIZN_1H.parquet,turnover_per_day too high: 2.317891745681502 > 1.0
AJG,FAIL,raw/Stock_parquet/AJG_1H.parquet,sortino too low: 0.7437090053603851 < 1.0;profit_factor too low: 1.082220389390771 < 1.1;net_to_gross too low: 0.5757067535091731 < 0.6;avg_net_trade_return too low: 3.21390780184576e-05 < 8e-05;cost_stress_failed sharpe=0.25020446416336906
