iter	Passed	Remaining
414	3177	4479
415	3190	4479
416	3201	4476
417	3208	4467
418	3214	4457
419	3220	4446
420	3237	4452
421	3248	4449
422	3260	4446
423	3276	4450
424	3287	4448
425	3299	4446
426	3312	4445
427	3328	4448
428	3336	4440
429	3350	4441
430	3363	4440
431	3384	4450
432	3401	4454
433	3420	4461
434	3433	4459
435	3449	4462
436	3466	4465
437	3483	4469
438	3493	4464
439	3502	4457
440	3509	4448
441	3524	4449
442	3539	4449
443	3551	4447
444	3559	4439
445	3564	4428
446	3570	4417
447	3579	4410
448	3591	4407
449	3605	4406
450	3618	4404
451	3634	4406
452	3654	4412
453	3661	4403
454	3668	4393
455	3673	4382
456	3680	4372
457	3685	4362
458	3691	4350
459	3696	4339
460	3702	4328
461	3710	4320
462	3722	4317
463	3729	4308
464	3734	4297
465	3740	4286
466	3745	4275
467	3750	4263
468	3758	4255
469	3766	4246
470	3772	4237
471	3777	4226
472	3782	4214
473	3790	4205
474	3795	4194
475	3800	4183
476	3805	4172
477	3810	4161
478	3816	4151
479	3823	4141
480	3831	4134
481	3837	4123
482	3842	4112
483	3848	4102
484	3853	4091
485	3861	4083
486	3866	4073
487	3872	4062
488	3877	4051
489	3882	4040
490	3887	4030
491	3895	4022
492	3902	4013
493	3908	4003
494	3915	3994
495	3926	3989
496	3939	3987
497	3948	3980
498	3955	3970
499	3960	3960
500	3968	3952
501	3974	3942
502	3980	3933
503	3985	3922
504	3990	3911
505	3998	3903
506	4004	3894
507	4011	3885
508	4017	3875
509	4023	3865
510	4028	3855
511	4033	3843
512	4038	3833
513	4045	3825
514	4051	3815
515	4057	3806
516	4064	3797
517	4071	3788
518	4076	3778
519	4083	3769
520	4089	3759
521	4093	3748
522	4098	3738
523	4103	3727
524	4109	3718
525	4115	3708
526	4121	3699
527	4127	3689
528	4132	3679
529	4138	3669
530	4142	3659
531	4150	3651
532	4155	3640
533	4160	3630
534	4165	3620
535	4170	3610
536	4176	3600
537	4181	3590
538	4186	3580
539	4191	3570
540	4199	3562
541	4204	3553
542	4210	3543
543	4216	3534
544	4221	3524
545	4226	3514
546	4234	3506
547	4240	3497
548	4246	3488
549	4251	3478
550	4257	3469
551	4264	3461
552	4273	3454
553	4283	3448
554	4293	3442
555	4306	3439
556	4312	3430
557	4319	3421
558	4326	3413
559	4335	3406
560	4341	3397
561	4346	3387
562	4353	3379
563	4359	3369
564	4371	3365
565	4387	3364
566	4399	3359
567	4405	3350
568	4412	3342
569	4418	3333
570	4423	3323
571	4429	3314
572	4435	3305
573	4440	3295
574	4445	3286
575	4452	3277
576	4458	3268
577	4463	3259
578	4469	3250
579	4475	3241
580	4482	3232
581	4488	3223
582	4495	3215
583	4499	3205
584	4505	3195
585	4510	3186
586	4514	3176
587	4520	3167
588	4529	3160
589	4539	3154
590	4548	3147
591	4557	3140
592	4564	3132
593	4569	3123
594	4574	3113
595	4579	3104
596	4584	3094
597	4593	3088
598	4600	3080
599	4607	3071
600	4612	3062
601	4617	3052
602	4622	3043
603	4629	3034
604	4636	3026
605	4641	3017
606	4646	3008
607	4651	2999
608	4658	2991
609	4668	2984
610	4673	2975
611	4679	2966
612	4684	2957
613	4690	2948
614	4696	2939
615	4701	2931
616	4707	2922
617	4713	2913
618	4720	2905
619	4726	2897
620	4733	2888
621	4738	2879
622	4744	2871
623	4750	2862
624	4756	2853
625	4762	2845
626	4767	2835
627	4772	2827
628	4779	2818
629	4787	2811
630	4793	2803
631	4800	2794
632	4805	2786
633	4811	2777
634	4816	2768
635	4824	2761
636	4828	2751
637	4836	2744
638	4848	2738
639	4857	2732
640	4868	2726
641	4875	2718
642	4881	2710
643	4888	2702
644	4893	2693
645	4900	2685
646	4911	2679
647	4921	2673
648	4926	2664
649	4932	2656
650	4938	2647
651	4944	2639
652	4951	2631
653	4956	2622
654	4961	2613
655	4968	2605
656	4981	2600
657	4992	2594
658	5004	2589
659	5012	2581
660	5028	2579
661	5042	2574
662	5056	2570
663	5069	2565
664	5084	2561
665	5098	2557
666	5106	2549
667	5112	2540
668	5117	2531
669	5122	2523
670	5129	2515
671	5136	2507
672	5141	2498
673	5149	2490
674	5165	2486
675	5177	2481
676	5189	2475
677	5193	2466
678	5202	2459
679	5210	2452
680	5218	2444
681	5223	2435
682	5228	2426
683	5235	2418
684	5242	2410
685	5248	2402
686	5254	2394
687	5260	2385
688	5267	2377
689	5273	2369
690	5280	2361
691	5288	2353
692	5293	2345
693	5300	2336
694	5306	2328
695	5314	2321
696	5321	2313
697	5327	2305
698	5334	2296
699	5340	2288
700	5347	2280
701	5355	2273
702	5361	2265
703	5367	2256
704	5376	2249
705	5381	2241
706	5395	2236
707	5409	2231
708	5420	2224
709	5429	2217
710	5443	2212
711	5454	2206
712	5471	2202
713	5481	2195
714	5496	2190
715	5505	2183
716	5513	2176
717	5518	2167
718	5524	2158
719	5529	2150
720	5535	2142
721	5541	2133
722	5548	2125
723	5553	2117
724	5559	2108
725	5565	2100
726	5571	2092
727	5579	2084
728	5585	2076
729	5591	2067
730	5596	2059
731	5601	2050
732	5606	2042
733	5612	2033
734	5622	2027
735	5629	2019
736	5635	2011
737	5642	2003
738	5648	1994
739	5654	1986
740	5662	1979
741	5668	1970
742	5673	1962
743	5678	1953
744	5684	1945
745	5690	1937
746	5695	1928
747	5702	1921
748	5708	1912
749	5713	1904
750	5727	1899
751	5738	1892
752	5743	1884
753	5750	1876
754	5756	1867
755	5763	1860
756	5774	1853
757	5784	1846
758	5791	1839
759	5804	1832
760	5815	1826
761	5824	1819
762	5836	1812
763	5851	1807
764	5861	1800
765	5874	1794
766	5882	1786
767	5887	1778
768	5893	1770
769	5898	1761
770	5906	1754
771	5917	1747
772	5929	1741
773	5939	1734
774	5944	1725
775	5949	1717
776	5954	1708
777	5963	1701
778	5969	1693
779	5975	1685
780	5980	1677
781	5987	1669
782	5994	1661
783	6001	1653
784	6006	1645
785	6012	1636
786	6017	1628
787	6022	1620
788	6027	1612
789	6033	1603
790	6038	1595
791	6044	1587
792	6049	1579
793	6059	1572
794	6065	1564
795	6076	1557
796	6084	1549
797	6096	1543
798	6104	1535
799	6111	1527
800	6117	1519
801	6122	1511
802	6128	1503
803	6134	1495
804	6142	1488
805	6152	1480
806	6156	1472
807	6164	1464
808	6169	1456
809	6174	1448
810	6182	1440
811	6195	1434
812	6201	1426
813	6207	1418
814	6219	1411
815	6230	1404
816	6235	1396
817	6242	1388
818	6247	1380
819	6252	1372
820	6264	1365
821	6273	1358
822	6281	1350
823	6286	1342
824	6300	1336
825	6307	1328
826	6315	1321
827	6320	1313
828	6326	1304
829	6333	1297
830	6339	1289
831	6344	1281
832	6352	1273
833	6358	1265
834	6363	1257
835	6369	1249
836	6377	1241
837	6384	1234
838	6391	1226
839	6396	1218
840	6402	1210
841	6408	1202
842	6413	1194
843	6418	1186
844	6424	1178
845	6429	1170
846	6435	1162
847	6446	1155
848	6451	1147
849	6457	1139
850	6462	1131
851	6467	1123
852	6474	1115
853	6480	1107
854	6486	1099
855	6490	1091
856	6495	1083
857	6504	1076
858	6509	1068
859	6516	1060
860	6522	1053
861	6527	1045
862	6532	1037
863	6538	1029
864	6546	1021
865	6551	1013
866	6556	1005
867	6562	997
868	6572	990
869	6580	983
870	6586	975
871	6591	967
872	6596	959
873	6601	951
874	6607	943
875	6618	936
876	6623	928
877	6628	921
878	6634	913
879	6639	905
880	6645	897
881	6656	890
882	6664	883
883	6674	875
884	6681	868
885	6689	860
886	6698	853
887	6703	845
888	6709	837
889	6716	830
890	6725	822
891	6742	816
892	6751	808
893	6756	801
894	6770	794
895	6781	787
896	6791	779
897	6804	772
898	6816	765
899	6829	758
900	6838	751
901	6843	743
902	6850	735
903	6858	728
904	6864	720
905	6872	713
906	6877	705
